filename,fold,target,category,esc10,src_file,take,label
4-132383-A-2.wav,4,2,pig,False,132383,A,0
4-181707-A-32.wav,4,32,keyboard_typing,False,181707,A,0
2-110011-A-5.wav,2,5,cat,False,110011,A,0
5-177957-B-40.wav,5,40,helicopter,True,177957,B,0
3-151557-B-28.wav,3,28,snoring,False,151557,B,0
5-179496-A-16.wav,5,16,wind,False,179496,A,0
4-147240-A-2.wav,4,2,pig,False,147240,A,0
2-67422-A-18.wav,2,18,toilet_flush,False,67422,A,1
5-234263-A-25.wav,5,25,footsteps,False,234263,A,0
4-188293-B-15.wav,4,15,water_drops,False,188293,B,1
3-253084-A-2.wav,3,2,pig,False,253084,A,0
1-51433-A-17.wav,1,17,pouring_water,False,51433,A,1
5-198278-B-7.wav,5,7,insects,False,198278,B,0
3-110913-D-7.wav,3,7,insects,False,110913,D,0
5-188945-A-45.wav,5,45,train,False,188945,A,0
4-204683-A-31.wav,4,31,mouse_click,False,204683,A,0
1-68734-A-34.wav,1,34,can_opening,False,68734,A,1
4-180380-A-10.wav,4,10,rain,True,180380,A,0
4-133674-A-26.wav,4,26,laughing,False,133674,A,0
5-257839-A-14.wav,5,14,chirping_birds,False,257839,A,0
5-209698-A-38.wav,5,38,clock_tick,True,209698,A,0
3-155579-A-14.wav,3,14,chirping_birds,False,155579,A,0
2-100786-A-1.wav,2,1,rooster,True,100786,A,0
2-120586-A-6.wav,2,6,hen,False,120586,A,0
1-56233-A-9.wav,1,9,crow,False,56233,A,0
5-207836-C-29.wav,5,29,drinking_sipping,False,207836,C,1
4-161100-A-47.wav,4,47,airplane,False,161100,A,0
4-99644-B-4.wav,4,4,frog,False,99644,B,0
1-58923-A-27.wav,1,27,brushing_teeth,False,58923,A,1
2-74977-A-18.wav,2,18,toilet_flush,False,74977,A,1
2-96033-A-13.wav,2,13,crickets,False,96033,A,0
3-180256-A-0.wav,3,0,dog,True,180256,A,0
5-243783-A-44.wav,5,44,engine,False,243783,A,0
5-160614-D-48.wav,5,48,fireworks,False,160614,D,0
4-218199-G-35.wav,4,35,washing_machine,False,218199,G,1
4-188703-C-8.wav,4,8,sheep,False,188703,C,0
5-147297-A-27.wav,5,27,brushing_teeth,False,147297,A,1
2-72547-C-14.wav,2,14,chirping_birds,False,72547,C,0
2-158746-D-2.wav,2,2,pig,False,158746,D,0
4-196672-A-8.wav,4,8,sheep,False,196672,A,0
4-164661-A-12.wav,4,12,crackling_fire,True,164661,A,1
3-115387-B-47.wav,3,47,airplane,False,115387,B,0
2-140841-A-30.wav,2,30,door_wood_knock,False,140841,A,0
3-102583-B-49.wav,3,49,hand_saw,False,102583,B,0
4-182034-A-30.wav,4,30,door_wood_knock,False,182034,A,0
4-156844-A-21.wav,4,21,sneezing,True,156844,A,0
3-164595-A-15.wav,3,15,water_drops,False,164595,A,1
1-40730-A-1.wav,1,1,rooster,True,40730,A,0
3-170312-A-31.wav,3,31,mouse_click,False,170312,A,0
4-218199-C-35.wav,4,35,washing_machine,False,218199,C,1
4-185613-A-32.wav,4,32,keyboard_typing,False,185613,A,0
4-185575-C-20.wav,4,20,crying_baby,True,185575,C,0
3-203371-A-39.wav,3,39,glass_breaking,False,203371,A,1
2-84965-A-23.wav,2,23,breathing,False,84965,A,0
4-187504-A-17.wav,4,17,pouring_water,False,187504,A,1
1-115545-B-48.wav,1,48,fireworks,False,115545,B,0
5-180156-C-43.wav,5,43,car_horn,False,180156,C,0
2-120333-A-32.wav,2,32,keyboard_typing,False,120333,A,0
2-109371-A-16.wav,2,16,wind,False,109371,A,0
3-126358-A-3.wav,3,3,cow,False,126358,A,0
2-125966-A-11.wav,2,11,sea_waves,True,125966,A,0
2-126433-A-17.wav,2,17,pouring_water,False,126433,A,1
5-243773-A-44.wav,5,44,engine,False,243773,A,0
3-139109-A-46.wav,3,46,church_bells,False,139109,A,0
1-33658-A-26.wav,1,26,laughing,False,33658,A,0
5-197121-A-45.wav,5,45,train,False,197121,A,0
1-30830-A-24.wav,1,24,coughing,False,30830,A,0
3-151080-A-20.wav,3,20,crying_baby,True,151080,A,0
2-57191-A-46.wav,2,46,church_bells,False,57191,A,0
4-182613-B-11.wav,4,11,sea_waves,True,182613,B,0
1-15689-B-4.wav,1,4,frog,False,15689,B,0
5-235593-A-23.wav,5,23,breathing,False,235593,A,0
5-160614-F-48.wav,5,48,fireworks,False,160614,F,0
3-161500-A-17.wav,3,17,pouring_water,False,161500,A,1
2-130978-A-21.wav,2,21,sneezing,True,130978,A,0
2-95035-A-1.wav,2,1,rooster,True,95035,A,0
4-119648-D-48.wav,4,48,fireworks,False,119648,D,0
5-243459-B-14.wav,5,14,chirping_birds,False,243459,B,0
5-221567-A-22.wav,5,22,clapping,False,221567,A,0
5-250629-A-37.wav,5,37,clock_alarm,False,250629,A,0
